"COMPANY","PRODUK_GROUP","brand","OPERATING","ORGANIZATION","Nasional","L1","L2_jabo","L2_subdist","L2_jabar","L2_jateng","L3","L4","MANAGER","gr_sty1","BRAND","CHANNEL","SUB_CHANNEL","CHANNEL_FORMAT","SALES_TYPE.y","jml","totalsum"
"MSP Nasional","01 - MARJAN SYRUP","Marjan","MSP Jakarta-OU","A01-MSP Jakarta","Nasional","Jakarta","Jabodetabek",NA,NA,NA,NA,"Anggi","Anggi",NA,"Beverage","MODERN TRADE","LMT(LOCAL MODERN TRADE)","LOCAL HYPERMARKET","Modern",1195,46112.25
"MSP Nasional","01 - MARJAN SYRUP","Marjan","MSP Jakarta-OU","A01-MSP Jakarta","Nasional","Jakarta","Jabodetabek",NA,NA,NA,NA,"Anggi","Anggi",NA,"Beverage","MODERN TRADE","LMT(LOCAL MODERN TRADE)","LOCAL SUPERMARKET","Modern",117,857
"MSP Nasional","01 - MARJAN SYRUP","Marjan","MSP Jakarta-OU","A01-MSP Jakarta","Nasional","Jakarta","Jabodetabek",NA,NA,NA,NA,"Anggi","Anggi",NA,"Beverage","MODERN TRADE","MT NKA","CASH N CARRY","Modern",2337,508613.8342
"MSP Nasional","01 - MARJAN SYRUP","Marjan","MSP Jakarta-OU","A01-MSP Jakarta","Nasional","Jakarta","Jabodetabek",NA,NA,NA,NA,"Anggi","Anggi",NA,"Beverage","MODERN TRADE","MT NKA","NKA MINIMARKET","Modern",112,4273.5835
"MSP Nasional","01 - MARJAN SYRUP","Marjan","MSP Jakarta-OU","A01-MSP Jakarta","Nasional","Jakarta","Jabodetabek",NA,NA,NA,NA,"Anggi","Anggi",NA,"Beverage","MODERN TRADE","MT NKA","NKA SUPERMARKET","Modern",17840,284767.3476
"MSP Nasional","01 - MARJAN SYRUP","Marjan","MSP Jakarta-OU","A01-MSP Jakarta","Nasional","Jakarta","Jabodetabek",NA,NA,NA,NA,"Teddy","Teddy",NA,"Beverage","MODERN TRADE","LMT(LOCAL MODERN TRADE)","LOCAL HYPERMARKET","Modern",5292,247883.5035
"MSP Nasional","01 - MARJAN SYRUP","Marjan","MSP Jakarta-OU","A01-MSP Jakarta","Nasional","Jakarta","Jabodetabek",NA,NA,NA,NA,"Teddy","Teddy",NA,"Beverage","MODERN TRADE","LMT(LOCAL MODERN TRADE)","LOCAL MINIMARKET","Modern",1,-24.75
"MSP Nasional","01 - MARJAN SYRUP","Marjan","MSP Jakarta-OU","A01-MSP Jakarta","Nasional","Jakarta","Jabodetabek",NA,NA,NA,NA,"Teddy","Teddy",NA,"Beverage","MODERN TRADE","LMT(LOCAL MODERN TRADE)","LOCAL SUPERMARKET","Modern",68,344.0834
"MSP Nasional","01 - MARJAN SYRUP","Marjan","MSP Jakarta-OU","A01-MSP Jakarta","Nasional","Jakarta","Jabodetabek",NA,NA,NA,NA,"Teddy","Teddy",NA,"Beverage","MODERN TRADE","MT NKA","NKA MINIMARKET","Modern",4236,721963.0812
"MSP Nasional","01 - MARJAN SYRUP","Marjan","MSP Jakarta-OU","A01-MSP Jakarta","Nasional","Jakarta","Jabodetabek",NA,NA,NA,NA,"Teddy","Teddy",NA,"Beverage","MODERN TRADE","MT NKA","NKA SUPERMARKET","Modern",1590,4260.8337
"MSP Nasional","01 - MARJAN SYRUP","Marjan","MSP Jakarta-OU","A01-MSP Jakarta","Nasional","Jakarta","Jabodetabek",NA,NA,NA,NA,"Adi","Adi",NA,"Beverage","MODERN TRADE","LMT(LOCAL MODERN TRADE)","LOCAL HYPERMARKET","Modern",744,14539.5006
"MSP Nasional","01 - MARJAN SYRUP","Marjan","MSP Jakarta-OU","A01-MSP Jakarta","Nasional","Jakarta","Jabodetabek",NA,NA,NA,NA,"Adi","Adi",NA,"Beverage","MODERN TRADE","LMT(LOCAL MODERN TRADE)","LOCAL SUPERMARKET","Modern",1089,3301.0839
"MSP Nasional","01 - MARJAN SYRUP","Marjan","MSP Jakarta-OU","A01-MSP Jakarta","Nasional","Jakarta","Jabodetabek",NA,NA,NA,NA,"Adi","Adi",NA,"Beverage","MODERN TRADE","MT NKA","CASH N CARRY","Modern",1198,270544.4184
"MSP Nasional","01 - MARJAN SYRUP","Marjan","MSP Jakarta-OU","A01-MSP Jakarta","Nasional","Jakarta","Jabodetabek",NA,NA,NA,NA,"Adi","Adi",NA,"Beverage","MODERN TRADE","MT NKA","NKA SUPERMARKET","Modern",8919,165329.1759
"MSP Nasional","01 - MARJAN SYRUP","Marjan","MSP Jakarta-OU","A01-MSP Jakarta","Nasional","Jakarta","Jabodetabek",NA,NA,NA,NA,"Triadi","Triadi",NA,"Beverage","MODERN TRADE","LMT(LOCAL MODERN TRADE)","LOCAL HYPERMARKET","Modern",1209,16344.6666
